"treatment","values","farm"
"A",31.767142514823,1
"A",31.3149455521506,1
"A",32.4050305042229,1
"A",27.6293201036834,2
"A",28.0775132018535,2
"A",26.9864795296743,2
"A",33.2724372504124,3
"A",34.0571218153684,3
"A",33.9302575123301,3
"A",32.9004034286115,4
"A",34.6698540621196,4
"A",33.1786633640249,4
"A",28.0153945164597,5
"A",27.5150391915825,5
"A",27.0146203843235,5
"B",39.3511145559045,1
"B",39.3395160605326,1
"B",40.879257175764,1
"B",35.1622301336007,2
"B",35.2266377628413,2
"B",33.6464964228687,2
"B",41.2586018830938,3
"B",41.1821416567366,3
"B",43.1475449130126,3
"B",41.1678854742652,4
"B",40.702493734047,4
"B",40.6341198524391,4
"B",34.894624439783,5
"B",35.6746832330827,5
"B",34.4812672657761,5
"C",42.1079530667283,1
"C",42.2436052317084,1
"C",41.4913006371846,1
"C",36.4649305118309,2
"C",37.1881698680603,2
"C",39.5392057953664,2
"C",42.3915672952576,3
"C",43.0901808298584,3
"C",43.7133227510416,3
"C",40.87837714988,4
"C",42.2341934633466,4
"C",41.7102304278907,4
"C",36.9541669435692,5
"C",36.7280035590208,5
"C",36.5032299920367,5
