"site","Foodavailability","ReproductiveEffort"
1,3.27410707995296,4.66445433136541
2,4.67429816899821,6.57252143979305
3,5.90792699279264,7.80449099122547
4,3.10982509450987,4.62460854419973
5,2.12070449758321,3.66097632166231
6,0.98444603793323,2.18931942823576
7,4.250274518691,5.66886350283399
8,6.77129582492635,8.65520875466056
9,0.346582584269345,1.4156915242807
10,2.9447677353397,4.15749831750756
11,3.61437978846952,4.8642856711545
12,6.28888742560521,8.80988132217666
13,5.2544210514985,6.85231465324061
14,6.90195385003462,9.37395100765396
15,5.25994228189811,7.50601465130923
16,1.4797158414498,2.36162243209081
17,6.6170107816346,8.91417106760899
18,6.90465691732243,9.5087211220758
19,4.76270334487781,6.83891165468609
20,5.99500606199726,7.71535319185816
21,6.64811822092161,8.78798907363322
22,6.8091311911121,8.91239078796934
23,6.19836996048689,8.60817279955605
24,2.41524239629507,3.72935458505526
25,6.03351839035749,8.29779849877348
26,0.220798798277974,1.42265477385838
27,1.51301698060706,2.63797021232313
28,3.35681822495535,4.64460279961582
29,0.249827025551349,1.07341506853234
30,5.57581946188584,7.36661334072472
31,0.539515249244869,1.75925259649288
32,2.35731606418267,3.87326527975965
33,4.21860409369692,5.9181861631549
34,1.104065546114,2.49177628810052
35,3.56219612304121,4.80000024968293
36,2.10794733129442,3.86901906168088
37,5.97613149313256,7.76907655445859
38,3.97197154173627,5.34923720181221
39,5.18552035568282,6.9388650219026
40,6.58208563495427,8.40493723474676
41,2.59863608954474,4.39053396613104
42,3.82247767085209,5.60884107265156
43,5.59250443466008,7.50244229279226
44,3.28105665054172,5.06198164756177
45,0.653170323558152,2.11501833941555
46,4.77783466018736,6.3596879465715
47,1.79207087010145,2.66957566780969
48,6.30461549730971,8.73646153107052
49,2.6661342157051,4.02000862398185
50,6.89396358337253,8.84643605780555
51,6.21037207879126,8.33200775337871
52,5.69448153227568,7.55884431540268
53,4.6690633197315,6.33803888850147
54,0.614010410197079,1.25141889025457
55,6.59702289151028,8.7826193623594
56,5.24450379740447,7.32460856747813
57,3.4558648834005,5.41708581451559
58,2.3709699886851,3.46491681420943
59,1.92576312422752,3.06448028450366
60,6.67458450691774,9.31041176742175
61,5.94760837750509,8.4520360269607
62,4.47835787199438,5.9167989064008
63,1.07611421905458,1.99141239793273
