"cow","time_period","treatment","milk_yield"
"Cow1","P1","T5",16.2340205398233
"Cow2","P1","T4",21.3269662931217
"Cow3","P1","T3",17.9919330271713
"Cow4","P1","T2",19.8054219164319
"Cow5","P1","T1",21.7685576296132
"Cow1","P2","T1",23.2234095662865
"Cow2","P2","T3",20.4093602517011
"Cow3","P2","T5",18.493976981294
"Cow4","P2","T4",22.4610133938617
"Cow5","P2","T2",23.4005594357677
"Cow1","P3","T4",22.3595546285863
"Cow2","P3","T1",21.3812242381853
"Cow3","P3","T2",19.3317185687886
"Cow4","P3","T5",17.9517438562685
"Cow5","P3","T3",18.4598897960548
"Cow1","P4","T3",20.3882356037856
"Cow2","P4","T2",21.8012882877778
"Cow3","P4","T4",14.9950643428329
"Cow4","P4","T1",25.1119195041377
"Cow5","P4","T5",20.1025590900828
"Cow1","P5","T2",21.363820297426
"Cow2","P5","T5",17.9553592702737
"Cow3","P5","T1",17.2765757694628
"Cow4","P5","T3",22.3558745245018
"Cow5","P5","T4",18.9567966233694
